[2023-12-21 10:31:10,513: INFO: __init__: textsummary logger ]
[2023-12-21 10:47:03,117: INFO: common: yaml file: config\config.yaml loaded successfully ]
[2023-12-21 10:47:03,133: INFO: common: yaml file: params.yaml loaded successfully ]
[2023-12-21 10:47:03,133: INFO: common: created directory at: artifacts ]
[2023-12-21 10:47:03,141: INFO: common: created directory at: artifacts/model_trainer ]
[2023-12-21 10:48:01,858: INFO: common: yaml file: config\config.yaml loaded successfully ]
[2023-12-21 10:48:01,866: INFO: common: yaml file: params.yaml loaded successfully ]
[2023-12-21 10:48:01,874: INFO: common: created directory at: artifacts ]
[2023-12-21 10:48:01,882: INFO: common: created directory at: artifacts/model_trainer ]
[2023-12-21 11:42:39,598: INFO: __init__: textsummary logger ]
[2023-12-21 11:48:41,644: INFO: __init__: textsummary logger ]
